TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean ppb
Annual Average 2022,CD,101,6,Financial District (CD1),19.3,22.4,21
Annual Average 2022,CD,102,6,Greenwich Village and Soho (CD2),19.2,21.1,20.2
Annual Average 2022,CD,103,6,Lower East Side and Chinatown (CD3),15.8,19.9,17.8
Annual Average 2022,CD,104,6,Clinton and Chelsea (CD4),18.6,24.4,21.4
Annual Average 2022,CD,105,6,Midtown (CD5),22.4,27.8,25.5
Annual Average 2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),17.4,24.8,21.1
Annual Average 2022,CD,107,6,Upper West Side (CD7),17,19.5,18.2
Annual Average 2022,CD,108,6,Upper East Side (CD8),16.5,21.1,18.9
Annual Average 2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),16.4,17.4,16.8
Annual Average 2022,CD,110,6,Central Harlem (CD10),16.4,17.4,16.8
Annual Average 2022,CD,111,6,East Harlem (CD11),15.9,17.4,16.7
Annual Average 2022,CD,112,6,Washington Heights and Inwood (CD12),14.2,21.8,16.9
Annual Average 2022,CD,201,6,Mott Haven and Melrose (CD1),16.1,19.8,17.8
Annual Average 2022,CD,202,6,Hunts Point and Longwood (CD2),16.7,19.6,18.1
Annual Average 2022,CD,203,6,Morrisania and Crotona (CD3),16.2,17.9,16.9
Annual Average 2022,CD,204,6,Highbridge and Concourse (CD4),16.1,19,17.3
Annual Average 2022,CD,205,6,Fordham and University Heights (CD5),16,18.8,17.1
Annual Average 2022,CD,206,6,Belmont and East Tremont (CD6),14.9,18.1,16.6
Annual Average 2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),15.1,16.5,15.8
Annual Average 2022,CD,208,6,Riverdale and Fieldston (CD8),13.3,16.1,14.5
Annual Average 2022,CD,209,6,Parkchester and Soundview (CD9),14.4,18,16.2
Annual Average 2022,CD,210,6,Throgs Neck and Co-op City (CD10),13.5,17.2,15.5
Annual Average 2022,CD,211,6,Morris Park and Bronxdale (CD11),14.8,16.7,15.4
Annual Average 2022,CD,212,6,Williamsbridge and Baychester (CD12),14.3,16.3,15.2
Annual Average 2022,CD,301,6,Greenpoint and Williamsburg (CD1),17.3,19.9,18.5
Annual Average 2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),16.9,20.5,18.5
Annual Average 2022,CD,303,6,Bedford Stuyvesant (CD3),15.4,18.5,16.6
Annual Average 2022,CD,304,6,Bushwick (CD4),15.3,19,16.6
Annual Average 2022,CD,305,6,East New York and Starrett City (CD5),13.4,17.3,15.4
Annual Average 2022,CD,306,6,Park Slope and Carroll Gardens (CD6),15.4,19.2,17.5
Annual Average 2022,CD,307,6,Sunset Park (CD7),14.4,20.9,17.4
Annual Average 2022,CD,308,6,Crown Heights and Prospect Heights (CD8),15.7,17.6,16.6
Annual Average 2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),15.1,15.8,15.4
Annual Average 2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),13.7,17.3,15.2
Annual Average 2022,CD,311,6,Bensonhurst (CD11),13.5,14.8,14.1
Annual Average 2022,CD,312,6,Borough Park (CD12),14.5,15.9,15.2
Annual Average 2022,CD,313,6,Coney Island (CD13),11.8,13.7,12.8
Annual Average 2022,CD,314,6,Flatbush and Midwood (CD14),14,15.6,14.7
Annual Average 2022,CD,315,6,Sheepshead Bay (CD15),11.9,14,13.1
Annual Average 2022,CD,316,6,Brownsville (CD16),15.2,16.9,15.9
Annual Average 2022,CD,317,6,East Flatbush (CD17),14.4,16.2,15.3
Annual Average 2022,CD,318,6,Flatlands and Canarsie (CD18),11.2,15.2,13.3
Annual Average 2022,CD,401,6,Long Island City and Astoria (CD1),13.4,18,16.1
Annual Average 2022,CD,402,6,Woodside and Sunnyside (CD2),16.6,20.6,18.4
Annual Average 2022,CD,403,6,Jackson Heights (CD3),15,16.2,15.5
Annual Average 2022,CD,404,6,Elmhurst and Corona (CD4),15.4,17.3,16.4
Annual Average 2022,CD,405,6,Ridgewood and Maspeth (CD5),13.4,18.8,15.9
Annual Average 2022,CD,406,6,Rego Park and Forest Hills (CD6),14,17,15.3
Annual Average 2022,CD,407,6,Flushing and Whitestone (CD7),14,16.6,15.2
Annual Average 2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),13.8,15.8,14.7
Annual Average 2022,CD,409,6,Kew Gardens and Woodhaven (CD9),14,16.5,15.1
Annual Average 2022,CD,410,6,South Ozone Park and Howard Beach (CD10),12.6,14.7,13.7
Annual Average 2022,CD,411,6,Bayside and Little Neck (CD11),13.5,16.4,14.8
Annual Average 2022,CD,412,6,Jamaica and Hollis (CD12),13.6,16.6,14.7
Annual Average 2022,CD,413,6,Queens Village (CD13),13.2,15.4,14.3
Annual Average 2022,CD,414,6,Rockaway and Broad Channel (CD14),10.4,12.3,11.4
Annual Average 2022,CD,501,6,St. George and Stapleton (CD1),12.7,14.3,13.5
Annual Average 2022,CD,502,6,South Beach and Willowbrook (CD2),10.3,13.5,11.8
Annual Average 2022,CD,503,6,Tottenville and Great Kills (CD3),7.5,10.7,9.3
Annual Average 2022,UHF42,101,4,Kingsbridge - Riverdale,13.3,16.4,14.5
Annual Average 2022,UHF42,102,4,Northeast Bronx,14.6,16.6,15.4
Annual Average 2022,UHF42,103,4,Fordham - Bronx Pk,14.3,16.3,15.3
Annual Average 2022,UHF42,104,4,Pelham - Throgs Neck,14.1,17.5,15.8
Annual Average 2022,UHF42,105,4,Crotona -Tremont,15.9,18.7,17.2
Annual Average 2022,UHF42,106,4,High Bridge - Morrisania,16.2,19,17.2
Annual Average 2022,UHF42,107,4,Hunts Point - Mott Haven,13.5,19.6,17.4
Annual Average 2022,UHF42,201,4,Greenpoint,17.1,19.7,18.4
Annual Average 2022,UHF42,202,4,Downtown - Heights - Slope,15.9,20.1,18
Annual Average 2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,15.3,17.2,16.2
Annual Average 2022,UHF42,204,4,East New York,14,17.3,15.6
Annual Average 2022,UHF42,205,4,Sunset Park,14.2,20.9,17.3
Annual Average 2022,UHF42,206,4,Borough Park,14.2,15.9,15
Annual Average 2022,UHF42,207,4,East Flatbush - Flatbush,14.1,15.9,15
Annual Average 2022,UHF42,208,4,Canarsie - Flatlands,11.3,15.7,13.4
Annual Average 2022,UHF42,209,4,Bensonhurst - Bay Ridge,13.1,16.4,14.4
Annual Average 2022,UHF42,210,4,Coney Island - Sheepshead Bay,11.9,14,13.1
Annual Average 2022,UHF42,211,4,Williamsburg - Bushwick,15.6,19.7,17.4
Annual Average 2022,UHF42,301,4,Washington Heights,14.6,21.3,16.9
Annual Average 2022,UHF42,302,4,Central Harlem - Morningside Heights,16.4,17.5,16.9
Annual Average 2022,UHF42,303,4,East Harlem,15.9,17.3,16.7
Annual Average 2022,UHF42,304,4,Upper West Side,17,19.6,18.2
Annual Average 2022,UHF42,305,4,Upper East Side,16.5,20.9,18.8
Annual Average 2022,UHF42,306,4,Chelsea - Clinton,19.2,27,22.9
Annual Average 2022,UHF42,307,4,Gramercy Park - Murray Hill,19.3,26.8,22.9
Annual Average 2022,UHF42,308,4,Greenwich Village - SoHo,19.2,21.8,20.5
Annual Average 2022,UHF42,309,4,Union Square - Lower East Side,15.9,20.4,18
Annual Average 2022,UHF42,310,4,Lower Manhattan,19.2,22.5,20.8
Annual Average 2022,UHF42,401,4,Long Island City - Astoria,15.6,19.5,17.4
Annual Average 2022,UHF42,402,4,West Queens,15.2,19.7,16.9
Annual Average 2022,UHF42,403,4,Flushing - Clearview,14.1,16.5,15.2
Annual Average 2022,UHF42,404,4,Bayside - Little Neck,13.4,16.5,14.8
Annual Average 2022,UHF42,405,4,Ridgewood - Forest Hills,13.6,16.9,15.2
Annual Average 2022,UHF42,406,4,Fresh Meadows,14,15.9,14.8
Annual Average 2022,UHF42,407,4,Southwest Queens,12.9,15.7,14.3
Annual Average 2022,UHF42,408,4,Jamaica,13.6,16.9,14.9
Annual Average 2022,UHF42,409,4,Southeast Queens,13.3,15,14.1
Annual Average 2022,UHF42,410,4,Rockaways,10.4,12.3,11.4
Annual Average 2022,UHF42,501,4,Port Richmond,12.7,14.3,13.5
Annual Average 2022,UHF42,502,4,Stapleton - St. George,11.6,14.3,13.1
Annual Average 2022,UHF42,503,4,Willowbrook,10.3,14,11.9
Annual Average 2022,UHF42,504,4,South Beach - Tottenville,7.7,11.2,9.5
Annual Average 2022,UHF34,101,3,Kingsbridge - Riverdale,13.3,16.4,14.5
Annual Average 2022,UHF34,102,3,Northeast Bronx,14.6,16.6,15.4
Annual Average 2022,UHF34,103,3,Fordham - Bronx Pk,14.3,16.3,15.3
Annual Average 2022,UHF34,104,3,Pelham - Throgs Neck,14.1,17.5,15.8
Annual Average 2022,UHF34,201,3,Greenpoint,17.1,19.7,18.4
Annual Average 2022,UHF34,202,3,Downtown - Heights - Slope,15.9,20.1,18
Annual Average 2022,UHF34,203,3,Bedford Stuyvesant - Crown Heights,15.3,17.2,16.2
Annual Average 2022,UHF34,204,3,East New York,14,17.3,15.6
Annual Average 2022,UHF34,205,3,Sunset Park,14.2,20.9,17.3
Annual Average 2022,UHF34,206,3,Borough Park,14.2,15.9,15
Annual Average 2022,UHF34,207,3,East Flatbush - Flatbush,14.1,15.9,15
Annual Average 2022,UHF34,208,3,Canarsie - Flatlands,11.3,15.7,13.4
Annual Average 2022,UHF34,209,3,Bensonhurst - Bay Ridge,13.1,16.4,14.4
Annual Average 2022,UHF34,210,3,Coney Island - Sheepshead Bay,11.9,14,13.1
Annual Average 2022,UHF34,211,3,Williamsburg - Bushwick,15.6,19.7,17.4
Annual Average 2022,UHF34,301,3,Washington Heights,14.6,21.3,16.9
Annual Average 2022,UHF34,302,3,Central Harlem - Morningside Heights,16.4,17.5,16.9
Annual Average 2022,UHF34,303,3,East Harlem,15.9,17.3,16.7
Annual Average 2022,UHF34,304,3,Upper West Side,17,19.6,18.2
Annual Average 2022,UHF34,401,3,Long Island City - Astoria,15.6,19.5,17.4
Annual Average 2022,UHF34,402,3,West Queens,15.2,19.7,16.9
Annual Average 2022,UHF34,403,3,Flushing - Clearview,14.1,16.4,15.2
Annual Average 2022,UHF34,405,3,Ridgewood - Forest Hills,13.6,16.9,15.2
Annual Average 2022,UHF34,407,3,Southwest Queens,12.9,15.7,14.3
Annual Average 2022,UHF34,408,3,Jamaica,13.6,16.9,14.9
Annual Average 2022,UHF34,409,3,Southeast Queens,13.3,15,14.1
Annual Average 2022,UHF34,410,3,Rockaways,10.4,12.3,11.4
Annual Average 2022,UHF34,305307,3,Upper East Side-Gramercy,17.3,25.4,20.7
Annual Average 2022,UHF34,306308,3,Chelsea-Village  ,19.2,26.4,22.1
Annual Average 2022,UHF34,309310,3,Union Square-Lower Manhattan,16.1,21.7,18.9
Annual Average 2022,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,13.6,16.3,14.8
Annual Average 2022,UHF34,501502,3,Northern SI,11.9,14.3,13.2
Annual Average 2022,UHF34,503504,3,Southern SI,8.1,12.7,10.4
Annual Average 2022,UHF34,105106107,3,South Bronx,15.9,19.3,17.3
Annual Average 2022,Borough,1,1,Bronx,14.1,18.1,16
Annual Average 2022,Borough,2,1,Brooklyn,12.9,18.5,15.4
Annual Average 2022,Borough,3,1,Manhattan,16,23.3,19.1
Annual Average 2022,Borough,4,1,Queens,13.1,17.2,14.9
Annual Average 2022,Borough,5,1,Staten Island,8.4,13.9,11.2
Annual Average 2022,Citywide,1,0,New York City,10.8,18.1,14.7
Summer 2022,CD,101,6,Financial District (CD1),14.9,18.6,16.9
Summer 2022,CD,102,6,Greenwich Village and Soho (CD2),15.1,17.4,16.4
Summer 2022,CD,103,6,Lower East Side and Chinatown (CD3),11.3,16,13.6
Summer 2022,CD,104,6,Clinton and Chelsea (CD4),14.7,21.2,17.8
Summer 2022,CD,105,6,Midtown (CD5),18.9,25.1,22.5
Summer 2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),13.2,21.8,17.5
Summer 2022,CD,107,6,Upper West Side (CD7),13.3,16.2,14.7
Summer 2022,CD,108,6,Upper East Side (CD8),12.4,17.8,15.3
Summer 2022,CD,109,6,Morningside Heights and Hamilton Heights (CD9),12.8,13.9,13.3
Summer 2022,CD,110,6,Central Harlem (CD10),12.7,13.8,13.1
Summer 2022,CD,111,6,East Harlem (CD11),12,13.8,13
Summer 2022,CD,112,6,Washington Heights and Inwood (CD12),10.2,19.8,13.6
Summer 2022,CD,201,6,Mott Haven and Melrose (CD1),12.2,16,14
Summer 2022,CD,202,6,Hunts Point and Longwood (CD2),12.7,15.7,14.2
Summer 2022,CD,203,6,Morrisania and Crotona (CD3),12.3,14.4,13.1
Summer 2022,CD,204,6,Highbridge and Concourse (CD4),12.4,15.8,13.7
Summer 2022,CD,205,6,Fordham and University Heights (CD5),12.4,15.8,13.7
Summer 2022,CD,206,6,Belmont and East Tremont (CD6),11.1,14.8,13
Summer 2022,CD,207,6,Kingsbridge Heights and Bedford (CD7),11.2,13,12.1
Summer 2022,CD,208,6,Riverdale and Fieldston (CD8),9.2,12.6,10.6
Summer 2022,CD,209,6,Parkchester and Soundview (CD9),10.3,14.5,12.4
Summer 2022,CD,210,6,Throgs Neck and Co-op City (CD10),9.3,13.6,11.7
Summer 2022,CD,211,6,Morris Park and Bronxdale (CD11),10.9,12.8,11.5
Summer 2022,CD,212,6,Williamsbridge and Baychester (CD12),10.3,12.6,11.4
Summer 2022,CD,301,6,Greenpoint and Williamsburg (CD1),12.7,15.8,14.1
Summer 2022,CD,302,6,Fort Greene and Brooklyn Heights (CD2),12.2,16.5,14.2
Summer 2022,CD,303,6,Bedford Stuyvesant (CD3),10.6,13.8,11.9
Summer 2022,CD,304,6,Bushwick (CD4),10.5,14.2,11.8
Summer 2022,CD,305,6,East New York and Starrett City (CD5),8.5,12.7,10.7
Summer 2022,CD,306,6,Park Slope and Carroll Gardens (CD6),10.5,14.7,12.7
Summer 2022,CD,307,6,Sunset Park (CD7),9.3,16.4,12.6
Summer 2022,CD,308,6,Crown Heights and Prospect Heights (CD8),11,12.9,11.8
Summer 2022,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),10.2,10.9,10.6
Summer 2022,CD,310,6,Bay Ridge and Dyker Heights (CD10),8.9,13.2,10.6
Summer 2022,CD,311,6,Bensonhurst (CD11),8.9,10,9.4
Summer 2022,CD,312,6,Borough Park (CD12),9.7,11.1,10.3
Summer 2022,CD,313,6,Coney Island (CD13),7.2,9.2,8.2
Summer 2022,CD,314,6,Flatbush and Midwood (CD14),9.1,10.8,9.8
Summer 2022,CD,315,6,Sheepshead Bay (CD15),7.2,9.4,8.5
Summer 2022,CD,316,6,Brownsville (CD16),10.4,12.3,11.2
Summer 2022,CD,317,6,East Flatbush (CD17),9.5,11.5,10.5
Summer 2022,CD,318,6,Flatlands and Canarsie (CD18),6.3,10.5,8.5
Summer 2022,CD,401,6,Long Island City and Astoria (CD1),9.2,14.2,12
Summer 2022,CD,402,6,Woodside and Sunnyside (CD2),12.3,16.3,14.2
Summer 2022,CD,403,6,Jackson Heights (CD3),10.9,12.4,11.5
Summer 2022,CD,404,6,Elmhurst and Corona (CD4),11.1,13.4,12.2
Summer 2022,CD,405,6,Ridgewood and Maspeth (CD5),8.5,14.2,11.2
Summer 2022,CD,406,6,Rego Park and Forest Hills (CD6),9.4,13.2,11
Summer 2022,CD,407,6,Flushing and Whitestone (CD7),9.7,12.8,11.1
Summer 2022,CD,408,6,Hillcrest and Fresh Meadows (CD8),9.4,11.8,10.5
Summer 2022,CD,409,6,Kew Gardens and Woodhaven (CD9),9.3,12.3,10.6
Summer 2022,CD,410,6,South Ozone Park and Howard Beach (CD10),7.7,10.4,9.2
Summer 2022,CD,411,6,Bayside and Little Neck (CD11),9.1,12.7,10.7
Summer 2022,CD,412,6,Jamaica and Hollis (CD12),9.2,12.2,10.3
Summer 2022,CD,413,6,Queens Village (CD13),8.8,11.2,10
Summer 2022,CD,414,6,Rockaway and Broad Channel (CD14),5.8,8,6.9
Summer 2022,CD,501,6,St. George and Stapleton (CD1),8.3,10.4,9.3
Summer 2022,CD,502,6,South Beach and Willowbrook (CD2),6.6,9.7,8
Summer 2022,CD,503,6,Tottenville and Great Kills (CD3),5.6,7.7,6.8
Summer 2022,UHF42,101,4,Kingsbridge - Riverdale,9.2,12.9,10.6
Summer 2022,UHF42,102,4,Northeast Bronx,10.7,13.1,11.6
Summer 2022,UHF42,103,4,Fordham - Bronx Pk,10.3,12.6,11.5
Summer 2022,UHF42,104,4,Pelham - Throgs Neck,10,13.9,12
Summer 2022,UHF42,105,4,Crotona -Tremont,12.1,15.5,13.6
Summer 2022,UHF42,106,4,High Bridge - Morrisania,12.4,15.7,13.6
Summer 2022,UHF42,107,4,Hunts Point - Mott Haven,9.3,15.7,13.4
Summer 2022,UHF42,201,4,Greenpoint,12.5,15.7,14.1
Summer 2022,UHF42,202,4,Downtown - Heights - Slope,11,15.9,13.4
Summer 2022,UHF42,203,4,Bedford Stuyvesant - Crown Heights,10.5,12.6,11.4
Summer 2022,UHF42,204,4,East New York,9.2,12.7,10.9
Summer 2022,UHF42,205,4,Sunset Park,9.1,16.4,12.5
Summer 2022,UHF42,206,4,Borough Park,9.3,11.1,10.1
Summer 2022,UHF42,207,4,East Flatbush - Flatbush,9.3,11.1,10.2
Summer 2022,UHF42,208,4,Canarsie - Flatlands,6.3,10.9,8.6
Summer 2022,UHF42,209,4,Bensonhurst - Bay Ridge,8.5,12.2,9.8
Summer 2022,UHF42,210,4,Coney Island - Sheepshead Bay,7.3,9.4,8.5
Summer 2022,UHF42,211,4,Williamsburg - Bushwick,10.9,15,12.7
Summer 2022,UHF42,301,4,Washington Heights,10.7,19.1,13.5
Summer 2022,UHF42,302,4,Central Harlem - Morningside Heights,12.7,13.9,13.2
Summer 2022,UHF42,303,4,East Harlem,12,13.7,13
Summer 2022,UHF42,304,4,Upper West Side,13.3,16.2,14.7
Summer 2022,UHF42,305,4,Upper East Side,12.4,17.6,15.2
Summer 2022,UHF42,306,4,Chelsea - Clinton,15.3,24.2,19.5
Summer 2022,UHF42,307,4,Gramercy Park - Murray Hill,15.5,24,19.6
Summer 2022,UHF42,308,4,Greenwich Village - SoHo,15.1,18.2,16.6
Summer 2022,UHF42,309,4,Union Square - Lower East Side,11.4,16.6,13.9
Summer 2022,UHF42,310,4,Lower Manhattan,14.8,18.7,16.7
Summer 2022,UHF42,401,4,Long Island City - Astoria,11.4,15.3,13.2
Summer 2022,UHF42,402,4,West Queens,11,15.4,12.8
Summer 2022,UHF42,403,4,Flushing - Clearview,9.8,12.7,11
Summer 2022,UHF42,404,4,Bayside - Little Neck,9,12.8,10.7
Summer 2022,UHF42,405,4,Ridgewood - Forest Hills,8.7,12.5,10.6
Summer 2022,UHF42,406,4,Fresh Meadows,9.6,12,10.6
Summer 2022,UHF42,407,4,Southwest Queens,8.2,11.3,9.7
Summer 2022,UHF42,408,4,Jamaica,9.2,12.5,10.5
Summer 2022,UHF42,409,4,Southeast Queens,8.9,10.9,9.8
Summer 2022,UHF42,410,4,Rockaways,5.9,8.1,7
Summer 2022,UHF42,501,4,Port Richmond,8.6,10.3,9.4
Summer 2022,UHF42,502,4,Stapleton - St. George,7.4,10,8.7
Summer 2022,UHF42,503,4,Willowbrook,6.6,10.4,8.3
Summer 2022,UHF42,504,4,South Beach - Tottenville,5.7,7.8,6.9
Summer 2022,UHF34,101,3,Kingsbridge - Riverdale,9.2,12.9,10.6
Summer 2022,UHF34,102,3,Northeast Bronx,10.7,13.1,11.6
Summer 2022,UHF34,103,3,Fordham - Bronx Pk,10.3,12.6,11.5
Summer 2022,UHF34,104,3,Pelham - Throgs Neck,10,13.9,12
Summer 2022,UHF34,201,3,Greenpoint,12.5,15.7,14.1
Summer 2022,UHF34,202,3,Downtown - Heights - Slope,11,15.9,13.4
Summer 2022,UHF34,203,3,Bedford Stuyvesant - Crown Heights,10.5,12.6,11.4
Summer 2022,UHF34,204,3,East New York,9.2,12.7,10.9
Summer 2022,UHF34,205,3,Sunset Park,9.1,16.4,12.5
Summer 2022,UHF34,206,3,Borough Park,9.3,11.1,10.1
Summer 2022,UHF34,207,3,East Flatbush - Flatbush,9.3,11.1,10.2
Summer 2022,UHF34,208,3,Canarsie - Flatlands,6.3,10.9,8.6
Summer 2022,UHF34,209,3,Bensonhurst - Bay Ridge,8.5,12.2,9.8
Summer 2022,UHF34,210,3,Coney Island - Sheepshead Bay,7.3,9.4,8.5
Summer 2022,UHF34,211,3,Williamsburg - Bushwick,10.9,15,12.7
Summer 2022,UHF34,301,3,Washington Heights,10.7,19.1,13.5
Summer 2022,UHF34,302,3,Central Harlem - Morningside Heights,12.7,13.9,13.2
Summer 2022,UHF34,303,3,East Harlem,12,13.7,13
Summer 2022,UHF34,304,3,Upper West Side,13.3,16.2,14.7
Summer 2022,UHF34,401,3,Long Island City - Astoria,11.4,15.3,13.2
Summer 2022,UHF34,402,3,West Queens,11,15.4,12.8
Summer 2022,UHF34,403,3,Flushing - Clearview,9.8,12.6,11
Summer 2022,UHF34,405,3,Ridgewood - Forest Hills,8.7,12.5,10.6
Summer 2022,UHF34,407,3,Southwest Queens,8.2,11.3,9.7
Summer 2022,UHF34,408,3,Jamaica,9.2,12.5,10.5
Summer 2022,UHF34,409,3,Southeast Queens,8.9,10.9,9.8
Summer 2022,UHF34,410,3,Rockaways,5.9,8.1,7
Summer 2022,UHF34,305307,3,Upper East Side-Gramercy,13.4,22.4,17.3
Summer 2022,UHF34,306308,3,Chelsea-Village  ,15.2,23.5,18.5
Summer 2022,UHF34,309310,3,Union Square-Lower Manhattan,11.6,17.8,14.8
Summer 2022,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,9.1,12.6,10.7
Summer 2022,UHF34,501502,3,Northern SI,7.7,10.1,8.9
Summer 2022,UHF34,503504,3,Southern SI,5.9,8.9,7.4
Summer 2022,UHF34,105106107,3,South Bronx,12.1,15.7,13.5
Summer 2022,Borough,1,1,Bronx,10,14.6,12.2
Summer 2022,Borough,2,1,Brooklyn,8.2,14,10.7
Summer 2022,Borough,3,1,Manhattan,12,20.4,15.4
Summer 2022,Borough,4,1,Queens,8.4,13.2,10.6
Summer 2022,Borough,5,1,Staten Island,6.2,9.7,7.8
Summer 2022,Citywide,1,0,New York City,7.2,14.1,10.6
Winter 2021-22,CD,101,6,Financial District (CD1),24.2,26.9,25.6
Winter 2021-22,CD,102,6,Greenwich Village and Soho (CD2),23.6,25.3,24.4
Winter 2021-22,CD,103,6,Lower East Side and Chinatown (CD3),20.9,24.3,22.6
Winter 2021-22,CD,104,6,Clinton and Chelsea (CD4),23,28.1,25.5
Winter 2021-22,CD,105,6,Midtown (CD5),26.4,31.4,29.2
Winter 2021-22,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),22.2,28.8,25.4
Winter 2021-22,CD,107,6,Upper West Side (CD7),21.1,23.2,22.1
Winter 2021-22,CD,108,6,Upper East Side (CD8),21.5,25.2,23.4
Winter 2021-22,CD,109,6,Morningside Heights and Hamilton Heights (CD9),20.8,21.8,21.3
Winter 2021-22,CD,110,6,Central Harlem (CD10),21.3,22,21.6
Winter 2021-22,CD,111,6,East Harlem (CD11),20.9,22.3,21.6
Winter 2021-22,CD,112,6,Washington Heights and Inwood (CD12),19.4,23.9,21.3
Winter 2021-22,CD,201,6,Mott Haven and Melrose (CD1),21.8,25.9,23.5
Winter 2021-22,CD,202,6,Hunts Point and Longwood (CD2),22.7,26.2,24.5
Winter 2021-22,CD,203,6,Morrisania and Crotona (CD3),22,23.3,22.7
Winter 2021-22,CD,204,6,Highbridge and Concourse (CD4),21.3,23.5,22.3
Winter 2021-22,CD,205,6,Fordham and University Heights (CD5),21.2,23.3,22.2
Winter 2021-22,CD,206,6,Belmont and East Tremont (CD6),20.7,23.2,22.1
Winter 2021-22,CD,207,6,Kingsbridge Heights and Bedford (CD7),20.8,21.8,21.4
Winter 2021-22,CD,208,6,Riverdale and Fieldston (CD8),18.8,21.2,19.8
Winter 2021-22,CD,209,6,Parkchester and Soundview (CD9),20.6,23.8,22.2
Winter 2021-22,CD,210,6,Throgs Neck and Co-op City (CD10),19.6,23.1,21.4
Winter 2021-22,CD,211,6,Morris Park and Bronxdale (CD11),20.8,23,21.5
Winter 2021-22,CD,212,6,Williamsbridge and Baychester (CD12),20,22.2,21
Winter 2021-22,CD,301,6,Greenpoint and Williamsburg (CD1),22.7,25.9,24
Winter 2021-22,CD,302,6,Fort Greene and Brooklyn Heights (CD2),22.1,25.1,23.5
Winter 2021-22,CD,303,6,Bedford Stuyvesant (CD3),21.1,24.5,22.3
Winter 2021-22,CD,304,6,Bushwick (CD4),21.1,25.3,22.6
Winter 2021-22,CD,305,6,East New York and Starrett City (CD5),18.9,23,21
Winter 2021-22,CD,306,6,Park Slope and Carroll Gardens (CD6),21.1,24.7,23.1
Winter 2021-22,CD,307,6,Sunset Park (CD7),20.3,26.9,23.2
Winter 2021-22,CD,308,6,Crown Heights and Prospect Heights (CD8),21.5,23.3,22.3
Winter 2021-22,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),20.9,21.6,21.3
Winter 2021-22,CD,310,6,Bay Ridge and Dyker Heights (CD10),19.5,22.2,20.8
Winter 2021-22,CD,311,6,Bensonhurst (CD11),19.6,20.9,20.2
Winter 2021-22,CD,312,6,Borough Park (CD12),20.7,21.9,21.2
Winter 2021-22,CD,313,6,Coney Island (CD13),17.9,19.7,18.8
Winter 2021-22,CD,314,6,Flatbush and Midwood (CD14),20,21.5,20.6
Winter 2021-22,CD,315,6,Sheepshead Bay (CD15),17.7,19.9,19.1
Winter 2021-22,CD,316,6,Brownsville (CD16),21,22.8,21.7
Winter 2021-22,CD,317,6,East Flatbush (CD17),20.4,22.1,21.2
Winter 2021-22,CD,318,6,Flatlands and Canarsie (CD18),16.9,21.2,19.1
Winter 2021-22,CD,401,6,Long Island City and Astoria (CD1),19.4,23.5,21.6
Winter 2021-22,CD,402,6,Woodside and Sunnyside (CD2),22.2,26.6,24.1
Winter 2021-22,CD,403,6,Jackson Heights (CD3),20.8,21.7,21.2
Winter 2021-22,CD,404,6,Elmhurst and Corona (CD4),21.3,22.8,22
Winter 2021-22,CD,405,6,Ridgewood and Maspeth (CD5),19.2,25,21.8
Winter 2021-22,CD,406,6,Rego Park and Forest Hills (CD6),19.5,22.2,20.8
Winter 2021-22,CD,407,6,Flushing and Whitestone (CD7),19.9,22.4,20.9
Winter 2021-22,CD,408,6,Hillcrest and Fresh Meadows (CD8),18.9,20.6,19.8
Winter 2021-22,CD,409,6,Kew Gardens and Woodhaven (CD9),19.4,21.6,20.4
Winter 2021-22,CD,410,6,South Ozone Park and Howard Beach (CD10),17.7,19.6,18.7
Winter 2021-22,CD,411,6,Bayside and Little Neck (CD11),18.8,21,19.9
Winter 2021-22,CD,412,6,Jamaica and Hollis (CD12),18.1,21.9,19.5
Winter 2021-22,CD,413,6,Queens Village (CD13),17.3,20,18.8
Winter 2021-22,CD,414,6,Rockaway and Broad Channel (CD14),14.9,16.5,15.7
Winter 2021-22,CD,501,6,St. George and Stapleton (CD1),17.8,19.7,18.7
Winter 2021-22,CD,502,6,South Beach and Willowbrook (CD2),15.3,18.6,16.9
Winter 2021-22,CD,503,6,Tottenville and Great Kills (CD3),12.7,16,14.5
Winter 2021-22,UHF42,101,4,Kingsbridge - Riverdale,18.8,21.3,19.8
Winter 2021-22,UHF42,102,4,Northeast Bronx,20.6,22.4,21.3
Winter 2021-22,UHF42,103,4,Fordham - Bronx Pk,20,21.8,21.1
Winter 2021-22,UHF42,104,4,Pelham - Throgs Neck,20,23.5,21.8
